Time,STFT,LTFT,Pressure
55488.151103,9.375,0.0,35.0
55488.834103,7.8125,0.0,36.0
55489.536103,1.5625,0.0,36.0
55490.258103,0.78125,0.0,36.0
55490.942103,0.0,0.0,36.0
55491.641103,4.6875,0.0,36.0
55492.317103,1.5625,0.0,36.0
55492.993103,0.0,0.0,36.0
55493.673103,0.78125,0.0,36.0
55494.347103,-3.125,0.0,37.0
55495.083103,4.6875,-5.46875,38.0
55495.782103,2.34375,-5.46875,74.0
55496.473103,4.6875,-5.46875,73.0
55497.187103,5.46875,-5.46875,73.0
55497.892103,5.46875,-5.46875,66.0
55498.614103,8.59375,-5.46875,67.0
55499.297103,5.46875,-5.46875,66.0
55500.022103,3.90625,-5.46875,64.0
55500.720103,0.78125,-5.46875,64.0
55501.430103,0.0,-5.46875,63.0
55502.145103,0.0,-5.46875,63.0
55502.837103,-2.34375,-3.90625,62.0
55503.543103,-3.125,-3.90625,62.0
55504.261103,-2.34375,-3.90625,60.0
55504.970103,-6.25,4.6875,57.0
55505.697103,-2.34375,99.21875,20.0
55506.414103,0.0,99.21875,19.0
55507.135103,0.0,99.21875,19.0
55507.853103,0.0,99.21875,19.0
55508.552103,0.0,2.34375,18.0
55509.238103,0.0,2.34375,20.0
55509.990103,0.0,2.34375,23.0
55510.695103,0.0,2.34375,22.0
55511.384103,0.0,99.21875,19.0
55512.066103,0.0,0.78125,19.0
55512.775103,0.0,1.5625,22.0
55513.493103,0.0,2.34375,23.0
55514.189103,0.0,2.34375,22.0
55514.903103,-3.125,-3.125,28.0
55515.574103,2.34375,-5.46875,63.0
55516.261103,9.375,-6.25,92.0
55516.933103,7.8125,-6.25,93.0
55517.615103,6.25,-6.25,96.0
55518.333103,0.0,-6.25,96.0
55519.009103,0.0,-7.03125,96.0
55519.702103,0.0,-7.03125,96.0
55520.410103,0.0,-7.03125,96.0
55521.084103,2.34375,99.21875,93.0
55521.773103,0.0,99.21875,19.0
55522.495103,0.0,99.21875,20.0
55523.195103,0.0,99.21875,19.0
55523.862103,0.0,99.21875,19.0
55524.573103,0.0,99.21875,19.0
55525.290103,0.0,99.21875,19.0
55526.013103,0.0,99.21875,19.0
55526.755103,0.0,99.21875,19.0
55527.472103,0.0,99.21875,19.0
55528.181103,0.0,99.21875,19.0
55528.896103,0.0,99.21875,19.0
55529.582103,0.0,99.21875,19.0
55530.270103,0.0,99.21875,18.0
55530.962103,0.0,99.21875,18.0
55531.628103,0.0,99.21875,18.0
55532.322103,0.0,99.21875,18.0
55533.015103,0.0,99.21875,18.0
55533.697103,0.0,0.78125,18.0
55534.379103,0.0,0.0,26.0
55535.087103,0.0,0.78125,27.0
55535.791103,0.0,0.0,26.0
55536.468103,0.78125,0.0,28.0
55537.160103,0.78125,0.0,33.0
55537.861103,5.46875,0.0,32.0
55538.545103,8.59375,0.78125,28.0
55539.217103,2.34375,0.78125,27.0
55539.906103,2.34375,1.5625,27.0
55540.604103,-3.90625,1.5625,24.0
55541.327103,-10.9375,1.5625,25.0
55542.029103,-3.125,0.78125,25.0
55542.706103,4.6875,0.0,32.0
55543.402103,0.78125,0.0,33.0
55544.080103,4.6875,-2.34375,35.0
55544.768103,-3.90625,-3.125,40.0
55545.481103,1.5625,-3.90625,51.0
55546.135103,2.34375,-3.90625,59.0
55546.818103,0.78125,-5.46875,63.0
55547.497103,3.90625,-5.46875,64.0
55548.155103,2.34375,-3.90625,67.0
55548.839103,2.34375,-3.90625,64.0
55549.489103,3.90625,-3.125,59.0
55550.232103,0.0,99.21875,25.0
55550.920103,0.0,2.34375,18.0
